Company,JobTitle,SalaryLower,SalaryUpper,OfficeLocation,EmploymentType,Seniority,JobCategories,RoleDesc,Requirements,mcfURL
AVIVA ASIA PTE LTD,Enterprise Architect (Data),"$6,300","$10,000Monthly","SUNTEC TOWER FOUR, 6 TEMASEK BOULEVARD 038986",Permanent,Manager,Information Technology,"PURPOSE OF THE ROLE  Enterprise Architect role is key in helping ARO-IT develop, build and provide strategic and forward-looking technologies for the Aviva organizations that ARO-IT supports. With data being the heart of all systems & technologies, the ARO-IT team is keen to develop capability in this area from an architecture perspective to provide a more rounded and robust guidance to the technology and business teams.    OUTCOMES  Establish an enterprise view of the creation, management, storage and use of Data within the organization and communicate this across the organization. Establish a complete holistic approach and understanding of Data Governance to the enterprise. Alignment to an understanding of Data Sovereignty, regulatory, legislative and best practice. In particular making Security and Privacy critical points for business change. Establish a business process and continue to champion the development of Data Quality & Standards within the enterprise. Establish the enterprise Analytics & Modelling as key business assets and enable the delivery of reusable value to the organization together with data integrity via best practice transformation processes. Align the Enterprise Data Architecture, Enterprise Data Modelling & Business Process Modelling as a composition tool to inform the business and IT management of relationships between data, processes and business functions. Enable the collection and conceptualization of the organizations Intellectual Capital through identification of structured and unstructured data flows as the collection, transformation and capability that is the organizational competitive position. As part of the Data Management capability focus on and implement the Metadata Management across all data sources, in particular the Business metadata, Technical metadata, alignment of the adopted Standards, Sources of the data, accuracy Time/date of data capture, Transformations applied to the data life cycle (ownership, security, retention and deletion) Establish the business processes to manage and maintain unstructured data in the forms of documents, email, social media and develop the capability to extend this with structured data as a development of an incorporation of a larger access to data (Big Data) Investigate and present new technology opportunities for the business as they become available   ","QUALIFICATIONS  Degree in Computer Science / Engineering    KNOWLEDGE/EXPERIENCE  A deep understanding of Data Architecture Good understanding of  tools and use in a commercial environment Experience leading a Data Architecture initiative in a large corporate organisation Expert communication and presentation skills, persuasively presenting game-changing ideas to stakeholders Demonstrates good analytical disciplined approach as well as a dynamic, abstract problem solving 5+ years’ experience in leading solution development and execution related to data management and digital platform. Abreast of technologies, concepts, practices, and industry direction (e.g. Analytics, Big-Data, Cloud) Broad Insurance/Financial Services experience is desirable. Proven ability to apply data architectural principles, methods, and tools to business challenges delivering financial, service, agility and capability improvements.  Exceptional communication skills and the demonstrable ability to communicate effectively at all levels of the organization. Must be a Team player able to support of senior IT and business managers and the ability to influence them as well as the IT organization at large is critical. Technologically and politically neutral ability to maintain an objective perspective. Articulate, persuasive, and a good salesperson also need to be able to talk tech with developers, as well as talk business with CEOs and CFOs. Extensive experience planning and deploying business and IT initiatives Strong situational analysis and decision making abilities Solid expertise in data technologies such as data mart, ETL, BigData, BI and Analytical Tools Degree in Computer Science / Engineering  SKILLS  Planning & Priority setting for self, team and projects Awareness of global technology trends within and outside Aviva Build and manage effective relationships with team and project members Exercise effective communication techniques to be able build relationships   ",https://www.mycareersfuture.sg/job/e71fc9fdef48b892c57d3f91795af9c3
ACCENTURE PTE LTD,Oracle Exadata and Big Data Technical Architect Manager,"$7,800","$10,500Monthly","RAFFLES CITY TOWER, 250 NORTH BRIDGE ROAD 179101","Permanent, Full Time",Senior Executive,Information Technology,"Join Accenture and help transform leading organizations and communities around the world.  The sheer scale of our capabilities and client engagements and the way we collaborate, operate and deliver value provides an unparalleled opportunity to grow and advance.  Choose Accenture, and make delivering innovative work part of your extraordinary career.   Job Description: The job of an Oracle Exadata and Big Data Technical Architect includes responsibility for the installation, configuration, upgrading, administration, monitoring, maintenance, and security of databases and/or Hadoop clusters within an Oracle Exadata and/or Oracle Big Data Appliance (BDA) architecture.  More specifically, the role includes the development and design of Exadata/ BDA strategies, system monitoring and improving Exadata/BDA performance and capacity, and planning for future expansion requirements. They may also plan, coordinate and implement security measures to safeguard the database/cluster within Exadata/BDA. Join Accenture and help transform leading organizations and communities around the world.  The sheer scale of our capabilities and client engagements and the way we collaborate, operate and deliver value provides an unparalleled opportunity to grow and advance.  Choose Accenture, and make delivering innovative work part of your extraordinary career. Job Description: The job of an Oracle Exadata and Big Data Technical Architect includes responsibility for the installation, configuration, upgrading, administration, monitoring, maintenance, and security of databases and/or Hadoop clusters within an Oracle Exadata and/or Oracle Big Data Appliance (BDA) architecture.  More specifically, the role includes the development and design of Exadata/ BDA strategies, system monitoring and improving Exadata/BDA performance and capacity, and planning for future expansion requirements. They may also plan, coordinate and implement security measures to safeguard the database/cluster within Exadata/BDA.","Basic Qualifications:  Strong interpersonal and communication (both verbal and written) skills  Excellent analytical, troubleshooting and debugging skills  2+ years of experience with Oracle Engineering Systems (Exadata, Big Data Appliance, Exalytics, Exalogic, SuperCluster, etc.) including areas such as: 	 Oracle Engineered Systems Architecture Oracle IaaS/PaaS Cloud Architecture (e.g. Exadata CS, Big Data CS) Cloudera Hadoop (e.g. HDFS, Hive, Impala, HBase) Architecture Setup and Configuration, Linux System Administration, Scripting Migration to Engineered Systems and Consolidation High Availability, MAA and DR: Real Application Clusters & Active Data Guard Diagnosability, Manageability and Operations   8+ years of Core DBA Skills including areas such as: 	 Database Architecture Design and PL/SQL Database Installation, Configuration and Patching including RAC Database Performance Tuning, Data Warehousing, Big Data and Data Lakes Data Replication, Database Security, Encryption, Compression and Data Masking/Redaction Backup and Recovery, DataPump and SQL*Loader Oracle Enterprise Manager Grid Control & Cloud Control   4+ years of industry experience as an Oracle Database Architect with a strong understanding of infrastructure 8+ years of experience with Oracle databases including hands-on knowledge of Oracle Database solutions  Preferred Skills:  Knowledge of other Database brands is a plus: SQL Server, DB2, MySQL, PostgreSQL Knowledge of other Cloud vendors is a plus: AWS, GCP, Azure Knowledge of other Hadoop vendors is a plus: Hortonworks, MapR Very large databases and in-memory database solutions Oracle OCP or OCM certification Oracle GoldenGate Oracle Spatial and Graph Oracle R, Python, and general machine learning Oracle Big Data Discovery and Big Data SQL  Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law.",https://www.mycareersfuture.sg/job/e126a1cb2c76153306be52b0e9ae2739
AMAZON WEB SERVICES SINGAPORE PRIVATE LIMITED,Specialist Solutions Architect - Big Data / Analytics,"$15,000","$25,000Monthly","AIA TOWER, 1 ROBINSON ROAD 048542",Permanent,Professional,Information Technology,"Are you a Big Data specialist? Do you have Data Warehousing, Data Streaming and/or Hadoop experience? Do you like to solve the most complex and high scale data challenges in the world today? Would you like a career that gives you opportunities to help Southeast Asia’s customers and partners use cloud computing to do big new things faster and at lower cost? Do you want to be part of history and transform Southeast Asia’s businesses through cloud computing adoption? Do you like to work on-site in a variety of business environments, leading teams through high impact projects that use the newest data analytic technologies? Would you like a career path that enables you to progress with the rapid adoption of cloud computing?  Amazon Web Services (AWS) is looking for highly skilled and motivated Big Data & Analytics Solution Architects to help accelerate our growing in Southeast Asia. You would be part of a dynamic team bringing the latest in disruptive, cloud computing technologies to enable leaders that want to serve customers more effectively. You will have the opportunity to shape and deliver on a strategy to build mind share and usage of AWS's Big Data & Analytics computing services.  Amazon strives to be the most customer centric company on earth. The ideal candidate will … Enjoy working with customers and partners. You will have a passion for educating, training, designing, and building Big Data & Analytics cloud computing systems for some of the largest and most important accounts to drive efficiencies and increase innovation. You will enjoy keeping your existing technical skills and developing new ones enabling you to lead deep Big Data & Analytics architecture discussions. You will be happy to roll up your sleeves, learn the deep details of AWS systems, and generally do what it takes to achieve technical success for customers on the AWS platform. You will develop and run technical workshops, prove our technology through mechanisms like demonstrations, proof-of-concept projects. As the right candidate, you will love what you do, and instinctively know how to make work fun. You will be dynamic and creative, and willing to take on any challenge.  Responsibilities include:  Collaborate with AWS field sales, Solution Architects, training and support teams to help partners and customers learn and understand the capabilities and value of AWS Big Data and Analytics services such as Amazon Data Pipeline, Elastic Map Reduce (EMR), Amazon Redshift and Athena. Deliver on-site technical engagements with partners and customers. This includes participating in pre-sales on-site visits, understanding customer requirements, creating consulting proposals and designing relevant Big Data solutions. Push the envelope – Cloud computing is reducing the historical “IT constraint” on businesses. Imagine bold possibilities and work with our clients and partners to find innovative new ways to satisfy business needs through Big Data / Business Intelligence cloud computing.· Build the Community – Develop and cultivate a community of Big Data & Analytics experts, sharing ideas and best practices. Coordinate efforts around IP development, evangelism and thought-leadership events relating to Big Data & Analytics. Provide thought leadership on Big Data & Analytics experts both externally through events like AWS Summit Series and User-Groups. Work with AWS engineering and support teams to convey partner and customer needs and feedback as input to technology roadmaps. Share real world implementation challenges and recommend new capabilities that would simplify adoption and drive greater value from use of AWS cloud services.  The candidate will possess both technical and customer-facing skills that will allow them to be a ""trusted advisor"" to customers. He or she will be able to facilitate relationships with senior personnel, as well as easily interact and give guidance to database experts, software developers, IT pros, and system architects. The ideal candidate will also have a demonstrated ability to think strategically about business, product, and technical challenges. If you are someone who enjoys innovating, likes solving hard problems and working on cutting edge technology, we would love to have you on the team.","BASIC QUALIFICATIONS  Deep understanding of database and analytical technologies in the industry including MPP and NoSQL databases, Data Warehouse design, BI reporting and Dashboard development. Deep understanding of Apache Hadoop 1/2 and the Hadoop ecosystem. Experience with tools such as Sqoop, Flume, Kafka, Oozie, Hue, Zookeeper, HCatalog, Solr, and Avro. Familiarity with SQL-on-Hadoop technologies such as Hive, Pig, Impala, Spark SQL, and/or Presto. Current hands-on implementation experience required, possessing 5 or more years of IT platform implementation experience. Experience with analytic solutions applied to the Marketing or Risk needs of enterprises. Proven experience in a consultative technical sales or professional services with a proven track record of success. Ability to gain credibility and build relationships with all levels in an organization, from technical experts to senior executives. Demonstrated ability to think strategically about business, product, and technical challenges in an enterprise environment. Track record of thought leadership and innovation around Big Data. Solid understanding of Cloud Computing Technologies and related emerging technology Strong verbal and written communications skills are a must, as well as the ability to lead effectively across internal and external organizations and virtual teams. A talent for being able to influence and build mindshare convincingly with any audience. Confident and experienced in public speaking to large audiences  PREFERRED QUALIFICATIONS  BA/BS degree or equivalent experience; Computer Science or Math background preferred Hands on experience leading large-scale global data warehousing and analytics projects. Demonstrated industry leadership in the fields of database, data warehousing or data sciences. Working knowledge of modern software development practices and technologies such as agile methodologies and DevOps Familiar with AWS Services. Experience designing and implementing AWS solutions in business environments such as large enterprises and start-ups. AWS Certifications, e.g. AWS Solutions Architect Professional desirable. ",https://www.mycareersfuture.sg/job/a549a220e8020035fb58643438087b45
DBS BANK LTD.,"SVP  /  VP, Platform Architect, Group Consumer Banking and Big Data Analytics Tech, T&O (180001AW)","$15,000","$30,000Monthly",no information,"Permanent, Full Time","Manager, Senior Executive",Banking and Finance," Your Domain / Platform Specialization   You will have broad domain knowledge of artificial intelligence, but specifically in the sub domain as a specialist in conversational interfaces, aka chat bots. The conversational interface we use, Kasisto is from the same people who developed Apple Siri, but is next generation advanced. You will have deep AI language processing engineering skills.    The Big picture   Actively contribute to the development of Architecture Roadmaps; help define the roadmaps, ensuring the platform alignment of business and IT goals Communicate clearly and influence others, especially senior technologists across all LOBs Ensure standards and best practices are in place across the platform. Help the extended technology community to internalize and then adhere to these standards and best practices. Promotion of shared infrastructure and applications to reduce costs and improve productivity Actively collaborate with other architects to ensure all work items do not duplicate functionality or diverge from each other and business and IT strategies and roadmaps Work with the engineers and other architects to provide a consensus based enterprise solution that is scalable, adaptable and in synchronization with ever changing business need Actively collaborate with the other architects in the development of policies, standards and guidelines that direct the selection, development, implementation and use of Information Technology within the enterprise   Subject Matter Expertise  Act as visionary and strategist for solution/application for your domain / platform Survey market landscape for solution/application insights, direction, vendors, and methods Provides expertise to identify and translate system requirements into software design artifacts Speak at internal conferences and authorship internal in publications   Early Ideation  Advise during the business development life cycle by serving as a solution SME to help identify and qualify business development opportunities Provide end to end solution and design details Drive experimentation to assess new solution/application paths Lead / participate in product selection process with other Architects and procurement   Methodology and Quality Assurance  Lead development of formalized solution methodologies Contribute to a repository for solution/application artifacts Manage the risk across the platform IT assets through appropriate standards and security policies Write, or direct the writing of white papers that add further insight and thought in the solution/application area   Guiding Applications Operations  Responsible for the change in delivery and deployment strategy for all applications to a total replacement for applications at the end of their technology or functionality lifecycle Advise and monitor all aspects of the proper running of the platform   ",-,https://www.mycareersfuture.sg/job/9b896e4943aecf48777b552e8f5198ed
OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Senior Data Modeler /  Architect,"$6,500","$8,500Monthly","PLAZA 8 @ CBP, 1 CHANGI BUSINESS PARK CRESCENT 486025",Contract,Senior Executive,Information Technology,"Optimum Solutions (Company Registration Number: 199700895N), is a full spectrum Software Solutions and Services Company. Software services from Optimum are designed to deliver Enterprise Client-Server/ Multi-tier and Web based solutions across the entire value chain, spanning on-site consulting services to turnkey software projects. We started our operations in March 1997"," Overall experience 5 Years 4 years of working experience in Data modelling, preferably in banking environments Familiarity with key technologies and concepts, Spark, SQL, RDBMS & Hadoop. Candidate with experience in Analytics and big data architecture. Knowledge on NoSQL data stores or columnar file formats such as parquet Knowledge of products in Banking and Financial Services. Ability to write clear documentation of procedures, and ability to write specifications for data models to be developed. Detail-oriented and able to follow clear methodologies for troubleshooting and development. Expert knowledge of data warehouse and relational data modelling design (Physical and Logical) Expert knowledge of Erwin and protégé data modeler tool. Certifications would be a plus. Expert in Data Analysis and Data Profiling. Efficient in prioritising work and multi-tasking ",https://www.mycareersfuture.sg/job/4d5024f0a2558aa8ed421a26b7e480df
COGNIZANT TECHNOLOGY SOLUTIONS ASIA PACIFIC PTE. LTD.,Big Data Developer,"$7,800","$10,250Monthly","FUJI XEROX TOWERS, 80 ANSON ROAD 079907",Full Time,"Manager, Professional",Information Technology," Coming up with a detailed level solution approach and design in conjunction with Big Data Architect Participate in Detailed level component design sessions to understand and implement the components in line with the design Review the codes from developers to ensure the best practice is implemented Coordinate and provide technical assistance to  developers/testers  Own Big Data Development   Develop ETL Jobs and data ingestion process Unit test the code and prepare Unit test logs  Provide required support during SIT, UAT and Warranty ","• 10 years of experience in the field of Software Engineering with good communication skills. • Atleast 4 years of hands on experience in Hadoop, Hive and Oozie. • Atleast 2 years of hands on experience in Apache spark programming. • Atleast 2 years of experience working with AWS technologies.  • Good knowledge and understanding on current big data technolgies. • Atleast 5 years of experience working on RDBMS systems such as Oracle, SQL Server and expert level SQL/PL-SQL programming skills. • 3 years of experience working on Java/Python and experience in writing shell scrpits.",https://www.mycareersfuture.sg/job/c5bcdc1f5c0989239984ccf8dd65f6f2
COGNIZANT TECHNOLOGY SOLUTIONS ASIA PACIFIC PTE. LTD.,Big Data Developer,"$6,600","$8,600Monthly","FUJI XEROX TOWERS, 80 ANSON ROAD 079907",Full Time,Professional,Information Technology," Coming up with a detailed level solution approach and design in conjunction with Big Data Architect Participate in Detailed level component design sessions to understand and implement the components in line with the design Review the codes from developers to ensure the best practice is implemented Coordinate and provide technical assistance to  developers/testers  Own Big Data Development   Develop ETL Jobs and data ingestion process Unit test the code and prepare Unit test logs  Provide required support during SIT, UAT and Warranty "," Must Have Extensive knowledge and hands-on experience with Big Data platforms covering Hadoop data platform experience on anyone of these distribution -  Cloudera / Hortonworks / MapR Strong Hands on experience in Apache Spark Framework/API's (1.6 / 2.x) - Streaming, Core, SQL Strong programming language background preferably on Scala, python, Java & Sql on Big Data context Experience in designing & development of real time streaming application from ingestion, processing, consumption Experience in doing data model for NoSQL storage (Hive / HBase / Cassandra / MongoDB / Impala) & Hadoop File Format (Avro / Parquet) Working knowledge Hadoop connectors across components like Kafka>Spark, Sqoop>HDFS, Flume>Kafka, Spark>HBase, Spark>Impala Knowledge of  Metadata Management, Security, Job Monitoring & Scheduling by Hadoop stack (Oozie / Hue/ CM / Ambari) Capability to lead/guide lean big data team during analysis, design, development, deployment & support by Strong analytical and problem-solving skills with proven communication and consensus building abilities. Any Hadoop stack Certification, Preferably Cloudera is plus ",https://www.mycareersfuture.sg/job/912dc4d27834a291e741a5a9ceb81a97
FUTUREX TECHNOLOGIES PTE. LTD.,Datacenter Architect,"$6,000","$8,500Monthly","TRADEHUB 21, 18 BOON LAY WAY 609966",Contract,Professional,Information Technology,"• Experienced in understanding, Architecting & documenting High Availability architecture in different flavor of clusters (Unix /Windows) • Lead Client Onboarding Workshops and conduct ""detailed discovery analysis"" with an eye toward development of a recovery solution design and Recovery Procedure Documentation required to execute DR solution • Conduct onsite interviews with customer technical teams to review all configuration documents and records • Identify existing HA configurations, storage volumes and configurations • Ability to navigate client DR solutions identifying ""what"" needs to be recovered and ""how"" recovery ought to be accomplished • Capture available performance requirements and availability benchmarks, relevant RTO and RPO objectives • Document all preliminary design findings with available architecture configuration overview diagrams • Hands on experience in executing HA and DR plans for critical equity market infrastructure • Coordinating the development, training, and exercise of a recovery plan • Define, create & validate different test cases for High Availability scenarios","• Identifying risks, gaps single point for failures for the market based infrastructure. Prepare and communicate to the PMO • Good understanding and experienced in representing the change to CAB • Experience must be 8 years plus. • Assist and support production support team for execution of different scenarios of test cases prepared for HA • Establishing contacts/networks for recovery resources and support systems • Implementing practices to further sustainability in strategic planning initiatives • Good exposure on project handling and reporting • Exposure to various storage technology and replication services • Managing internal team and meeting customer expectation • Tools knowledge and log analysis skills • Excellent communication and onsite exposure",https://www.mycareersfuture.sg/job/ef2deb7ce6a7f2e84e263dd05441e76e
UPS ASIA GROUP PTE. LTD.,Director of Strategy Development and Data Science (APAC Region),"$6,905","$9,665Monthly",no information,Full Time,Middle Management,"Logistics / Supply Chain, Others","The Strategy Development and Data Science Director is responsible for building, updating and documenting the official APAC Strategy, including the Strategic Planning and Execution process and incorporating and managing the APAC Data Science Lab into our strategic processes in the APAC Region.                  Responsibilities:  Strategy Development  Ongoing management of the overall APAC strategy across all business units.  This includes updates, communications and financial soundness of the plan. Scenario planning that includes changing market conditions, presenting new scenarios to the business planning team and synthesizing appropriate outputs into the 5 year plan. Management of all facets of the Strategic Planning & Execution process.  This includes managing the timelines and development of materials as well as liaising with our Districts and Countries, reporting and communications. Supporting strategy team from a research, analytics and reporting perspective. Developing Supply Chain Capabilities across attractive segments that align to the long term strategy.  Build out of business cases that identify gaps in our current portfolio to serve customers to include new products or services to be built or acquired. Network strategy development to understand how ocean, air and rail networks, across all business units can be leveraged and modified to serve customers more effectively.  Data Science  Build an oversee the development of a data science lab in Asia Pac Identify approach to strategic integration of advanced analytics and machine learning into APAC  business processes Define frameworks and structure for managing output of DS lab including key performance metrics Provides thought leadership for UPS senior leadership, business teams, and IT project teams on what is possible via advanced analytics to attain organizational goals and initiatives. Acts as subject matter expert for investigating and evaluating strategic business opportunities that will improve UPS capabilities, and drive revenue and profit. Leads the analysis and integration of tools and methods to provide desired results from models and requirements. Champions the adoption of open source software, advanced analytic techniques, and related environments that lead to improved capabilities that will provide a better platform for which to solve problems. "," Master degree in Mathematics, Advanced Analytics, Operations, Finance, Engineering, and Statistics is preferable   Possess relevant education or experience in the disciplines associated with data science including advanced analytical techniques, data architecture, machine learning and associated mathematics and statistical capabilities. Minimum 5 years’ experience in Strategy Development at Management level capacity Strong project management skills; PMO or similar training or certification will be an added value. Experienced in Business Case development with combination of quantitative and qualitative communication of how new opportunities will support APAC business objectives. Strong verbal and written communication skills and comfortable to interact with senior executive management. Strong People management and development skills. Strong commercial acumen or logistics experience that connect ideas and concepts to UPS customer base and create long term growth & profit potential. Market knowledge of primary customer segments and competitors to evaluate approaches, align to SP&E and guide inputs and rationality of inclusion in APAC 5 year plan. Possess good understanding of supply chain mapping concepts.  Providing team and regional leadership on mapping industry supply chains and exhaustively analyzing how to serve these chains as a leader in our industry developing new ways to create value in these chains for customers. Capability to develop a strong understanding of UPS operations and networks for our business units.  Ability to evaluate options for improvements to existing networks as well as evaluate new options to serve customers and understand how networks can interact. Financial acumen with good understanding of cost drivers and ability to integrate understanding of profit and loss factors into all facets of strategy decision making. Critical thinking and able to assess the strategic fit of opportunities into existing structure and guide senior management toward exploring new possibilities for long term top and bottom line growth. ",https://www.mycareersfuture.sg/job/80f2844cea662a3b8dcac35429d02609
CHARTERHOUSE PTE. LTD.,Data Science & Analytics,"$8,000","$15,000Monthly","BANK OF CHINA BUILDING, 4 BATTERY ROAD 049908",Permanent,Professional,Others,"With footprints in Asia, Australasia and the Middle East, Charterhouse offers professional and bespoke contingency and retained recruitment services across a variety of industrial sectors across multiple functions. Working closely with our key clients within this region, we have seen an increasing requirements within the Data Science and Analytics space. We are looking for top talents with relevant working experience and in-depth knowledge of various Data Science technologies and techniques such as Machine Learning/Deep Learning, National Language Processing, Image Processing, Predictive Modelling, Clustering, and Visualisation. At the top level, we are looking at leadership roles and would keen to speak to potential senior candidates with experiences in setting up and managing teams, coupled with hands-on expertise in Data Science and Analytics.  ","On an individual contributor level, we are seeking passionate Data Scientists with the ability in solving business problems through innovative and effective methods, Project Managers who have proven themselves in bridging the gap between Data Science and Business within a professional business environment, and Data Visualization experts with full range capability from data extraction ability, data cleansing and filtering, to building comprehensive dashboards. To be considered for these positions, you would surely have years of relevant work experience and proven track record in working within a large business environment. Also, you would possess excellent verbal and written communication skills. It is expected that you would have completed a Bachelor’s degree in Data Science or Analytics related field. If you are keen in finding out more about this opportunity, please email Brendon Png at brendonp@charterhouse.com.sg EA License no: 16S8066 | Registration no: R1330593",https://www.mycareersfuture.sg/job/75f96dca40649cde80ef9b8bcf5c7ce7
DENTSU AEGIS NETWORK HUB2050,Data Science Analyst,"$4,000","$6,000Monthly","GUOCO TOWER, 1 WALLICH STREET 078881","Permanent, Full Time",Junior Executive,Sciences / Laboratory / R&D,"BACKGROUND: About Dentsu Aegis Network Dentsu Aegis Network helps clients build consumer relationships by communicating their products and brands effectively. Our distinctive and innovative range of products and services include marketing and communications strategies through digital marketing and creative execution, media planning and buying, creative services, technology applications, SEO, content creation, brand tracking and marketing analytics. Find out more about us at https://www.dentsuaegisnetwork.com/   About Dentsu Aegis Network’s Global Data Innovation Centre As the world of data continues to grow exponentially in the advent of connected devices, IoT, industrialised digitization of the economy and the way people move through digitized networks, Dentsu Aegis seeks to harness the power of data and transform this into intelligent applications, products and platforms.   The Dentsu Aegis Network Global Data Innovation Centre, hubbed in Singapore, is a strategic initiative to ensure that the Group stays at the forefront of the digital economy and develops global products which sit at the intersection of deep domain knowledge, consumer psychology, data and technology.   KEY ACCOUNTABILITIES: As a Data Science Analyst, you will work closely with the Data Scientists and the engineering team to develop leading edge data analytics solutions and capabilities that uncovers insights from vast amounts of structured and unstructured data, through a combination of research and experimentation.   On a day to day basis, your responsibilities can comprise of:  Apply quantitative methods and build statistically valid and scalable algorithms that convey actionable conclusions from very large datasets. You should be able to synthesize scientific publications on statistical applications and then write programs to implement the applications that are most suitable for our data. Complete tasks effectively and in a timely manner. ","​​We invite people passionate about data and artificial intelligence to join a growing team.  You have to be a self-starter, hands-on builder and collaborative team player. You can think on your feet, connect disparate dots, imagine connections and importantly, craft approaches to turn ideas and imagination into real capabilities, inspired by data. You are excited by your work going live in the market with clients and teams around the world. Desired Skills and Experience  1+ years of experience in applied data science. At least a Bachelor’s degree in Mathematics, Statistics, Computer Science, Engineering or Information Systems. Familiar with Python programming, including pandas and NumPy libraries. Working knowledge in machine learning / data mining. Highly logical, systematic, independent and fast learner. Self-starter and motivated. Confident, responsible and can proactively think of and implement solutions to tricky problems.​ ",https://www.mycareersfuture.sg/job/3f09c611263d8f677ebff26cf39a1aca
DENTSU AEGIS NETWORK ASIA PACIFIC PTE. LTD.,DMP Data Science - Director,"$8,000","$12,000Monthly","GUOCO TOWER, 1 WALLICH STREET 078881","Permanent, Full Time",Manager,Advertising / Media ,"Key Accountabilities  Drive and undertake analyses such as customer segmentation, propensity scoring and life-time value using data from DMPs, programmatic engines and CRM platforms, with the end objective of identifying high performing audience segments and ultimately driving higher performance of digital advertising campaigns Drive audience insights, targeting recommendations, site selections and campaign optimization by undertaking regular analyses of campaign performance data Develop and oversee deployment of segmentation strategies using digital data including those from DMPs, web analytics and ad-servers Be a key agency resource to help client management teams to improve the effectiveness of their digital media by harnessing the power of 1st, 2nd, and 3rd party data from DMPs, site analytics, ad-server log files and CRM platforms Enable implementation of advanced audience based targeting through use of latest marketing technology and ad technology platforms by defining online/offline data captures, integration of data and audience development Conduct custom analyses using data attributes and business knowledge to develop audience based media testing and targeting strategies Identify gaps in agency’s current data sourcing that is needed for its people-based marketing efforts and then identifying and sourcing relevant new data vendors Exhibit strong analytical skills Have strong project management skills with emphasis on task completion in tight deadlines. Maintain positive and collaborative partnerships with external and internal stakeholders Have strong communication skills Provide thought leadership on audience segmentation strategies, cross channel customer engagement, testing and measurement Manage relationship with data and tech vendors as well as internal agency teams across media, digital and creative functions Provide POVs and best practice recommendations around enabling data and marketing technology to support people based marketing ","Person Specification  10+ years of work experience in digital marketing/advertising space in a quantitative business environments including 	 4+ years in a leading Data Management Platform across such as BlueKai, Adobe Audience Manager, Lotame, or any other similar platform 4+ years working with CRM data and systems   Hands-on experience creating audience segments, insights from using digital data such as but not limited to ad-serving data (DCM), web analytics data (Omniture, GA) and DMP data (Blue Kai, Adobe, Lotame, etc.) Good understanding of how digital media campaigns (search, display, email) are implemented and optimised. Understanding of how site analytics tools are deployed Understanding of tag management systems such as GTM, Tealium, etc. Good working knowledge and expertise with DSPs, 3rd party data, ad serving, real-time bidding and ad exchanges Experience with direct marketing tactics and predictive modelling for audience targeting Strong problem-solving skills Strong interpersonal skills with the ability to conceptualize and communicate highly detailed technical concepts to a technical and non-technical audience Strong analytical, organizational, and time management skills as well as an attention to detail Willingness to be available as project needs and timelines require High degree of personal integrity and accountability Ability to build consensus around workable solutions and to resolve complex issues Ability to take initiative as well as lead, motivate and oversee teams to produce results    Qualifications  Advanced degree in statistics and hands-on experience in deploying statistical techniques for audience segmentation work Masters or Bachelors degree in computer science, engineering, mathematics, statistics or comparable technical field, or work experience which demonstrates comparable analytical and technical abilities Strong expertise in statistical software packages such as SPSS, eViews and R Understanding of online marketing measurement (e.g. CPM, CPC, CPA, ROAS, RPV, AOV, etc.) Working knowledge of JavaScript, HTML, and Internet technologies (e.g. ad servers, browsers, cookies, etc.) Some knowledge of software coding languages such as R and Python Familiarity with relational databases, SQL and exposure to application development technologies Computing experience with extracting and analysing data from cloud storage, DMPs, ad server systems and site analytics platforms ",https://www.mycareersfuture.sg/job/2f11b740335ad0f4a02b9c40b9ccbe68
BLACKBOX RESEARCH PTE LTD,"Senior Manager, Marketing and Data Science","$7,500","$9,500Monthly","THE HERENCIA, 46 KIM YAM ROAD 239351",Full Time,Senior Management,Others,"We are currently hiring for a leadership opportunity and looking for an individual with a strong background in Analytics, to manage the Marketing and Data Science team.  The successful candidate will oversee the entire function for the business, with responsibility for managing a team of staff and providing expert guidance on approaches to researchers and clients."," Oversee both data processing and analytics functions for the business. Provide expertise to internal and external teams, offering guidance and training on technical queries. Explore client requirements with regards to current and future needs. Develope new methodologies/approaches for the business. Manage a team of anaylsts and DP staff. Experience in marketing / data science and business consulting. Advanced knowledge of relevant statistical tools, models and software. Strong interpersonal skills, ability to work with researchers and clients. Excellent attention to detail. Strong work ethics. Prioer experience managing analysts. ",https://www.mycareersfuture.sg/job/3e0aed2bc9853b3b3b6ceff68982f0e1
90 SECONDS INTERNATIONAL PTE. LTD.,Data Science & Engineering Lead,"$8,000","$18,000Monthly","YEE LAN COURT, 28 BUKIT PASOH ROAD 089842","Permanent, Full Time",Manager,Engineering, Generate a purchasing recommendation engine for enterprise customers Create matching algorithms for an online marketplace of freelancers Predict customer success using natural language processing Predict customer behavior to understand retention , 3-5 years' experience with data engineering & machine learning Experience with SQL and other data engineering tools Experience leading and mentoring a team of data analysts / data engineers / data scientists B.S. in Computer Science ,https://www.mycareersfuture.sg/job/79a1de91607d33ba684f029b641c1526
